STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72208013880,2010-01-07T14:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07,19,52,0.00,,,,27,30.07,,30.02,10.00,39,170,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09601/07/10 14:56:02 METAR KCHS 071956Z 17007KT 10SM CLR 11/M07 A3007 RMK AO2 SLP182 T01111072 (WD),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-01-13T17:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.30,24,40,0.00,,,,53,30.30,,30.25,10.00,34,160,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09701/13/10 17:56:02 METAR KCHS 132256Z 16007KT 10SM CLR 04/M04 A3030 RMK AO2 SLP261 T00441044 (AWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-01-14T17:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,30,45,0.00,,,,56,30.28,,30.23,10.00,39,150,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09701/14/10 17:56:02 METAR KCHS 142256Z 15006KT 10SM CLR 07/M01 A3028 RMK AO2 SLP254 T00721011 (BBE),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-01-15T15:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,37,65,0.00,,+0.03,5,36,30.27,,30.22,9.00,51,150,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10001/15/10 15:56:02 METAR KCHS 152056Z 15007KT 9SM CLR 18/03 A3027 RMK AO2 SLP249 T01830028 55010 (WD),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-01-15T16:00:00,FM-12,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,65,,,+0.03,5,36,30.27,CLR:00,30.22,8.70,51,150,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN076AAXX  15214 72208 32964 01507 10183 20028 30234 40249 55010 92056 555 91521;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-01-15T16:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,36,60,0.00,,,,41,30.27,,30.22,9.00,49,150,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09501/15/10 16:56:02 METAR KCHS 152156Z 15007KT 9SM CLR 16/02 A3027 RMK AO2 SLP251 T01560022 (AWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-01-15T17:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,34,51,0.00,,,,52,30.27,,30.22,9.00,43,150,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09501/15/10 17:56:02 METAR KCHS 152256Z 15007KT 9SM CLR 11/01 A3027 RMK AO2 SLP249 T01060011 (AWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-01-24T10:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.94,61,65,0.01,-RA:02 BR:1 |RA |RA,,,87,29.93,FEW:02 18 SCT:04 28 OVC:08 40,29.89,5.00,63,170,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET13401/24/10 10:56:02 METAR KCHS 241556Z 17014G21KT 5SM -RA BR FEW018 SCT028 OVC040 18/16 A2994 RMK AO2 RAB38 SLP137 P0001 T01830161 (JRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-01-24T11:49:00,FM-16,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91,63,66,0.01,-RA:02 BR:1 |RA |RA,,,88,,FEW:02 16 BKN:07 28 OVC:08 35,29.86,6.00,64,170,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12001/24/10 11:49:02 SPECI KCHS 241649Z 17015G21KT 6SM -RA BR FEW016 BKN028 OVC035 19/17 A2991 RMK AO2 RAE05B41 P0001 (JRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-01-24T11:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.90,63,67,0.01,-RA:02 |RA |RA,,,87,29.90,SCT:04 16 BKN:07 25 OVC:08 33,29.85,8.00,65,160,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET13101/24/10 11:56:02 METAR KCHS 241656Z 16010KT 8SM -RA SCT016 BKN025 OVC033 19/17 A2990 RMK AO2 RAE05B41 SLP125 P0001 T01940172 (JRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
